flow_key,total_bytes,incoming_bytes,outgoing_bytes,max_packet_length_bytes,min_packet_length_bytes,total_packets,incoming_packets,current_pkt_len,iat_sum,iat_max,ttl,label
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50805,36069,14736,1224,119,50,34,966,71.86412811279297,40.54379463195801,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45573,18801,26772,1231,119,50,18,746,122.73883819580078,60.90188026428223,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50244,42465,7779,1190,119,50,40,1131,85.34407615661621,39.68000411987305,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45728,28290,17438,1138,119,50,28,1138,100.66723823547363,39.72744941711426,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46657,21483,25174,1138,119,50,22,119,124.90582466125488,49.5152473449707,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",53293,41828,11465,1231,119,50,37,934,93.27936172485352,34.48748588562012,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49965,29981,19984,1197,119,50,29,119,116.0426139831543,53.40743064880371,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48855,27365,21490,1206,114,50,27,1151,90.22188186645508,24.673938751220703,116,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",8831,8831,0,198,152,50,50,159,980.1838397979736,22.394418716430664,116,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49663,23067,26596,1201,119,50,22,1129,75.50835609436035,39.81661796569824,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46636,29681,16955,1188,119,50,28,750,115.52262306213379,45.89247703552246,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50684,42417,8267,1234,119,50,40,1185,124.08185005187988,38.54084014892578,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49718,30093,19625,1228,119,50,28,1217,81.4964771270752,39.484262466430664,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48453,23536,24917,1217,119,50,22,1174,95.0307846069336,60.87636947631836,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51268,40287,10981,1228,119,50,37,852,100.6002426147461,35.37702560424805,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48311,30894,17417,1226,119,50,30,1185,132.59291648864746,44.15273666381836,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48309,27917,20392,1206,119,50,26,1206,77.69107818603516,35.35127639770508,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51007,28295,22712,1206,119,50,26,935,61.32149696350098,35.596370697021484,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50958,39779,11179,1227,119,50,38,958,128.19671630859375,42.84071922302246,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48882,25680,23202,1206,114,50,25,114,88.61303329467773,20.984888076782227,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46856,26672,20184,1205,78,50,27,1192,75.49619674682617,50.597190856933594,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52635,50848,1787,1219,119,50,46,1199,129.30607795715332,47.76763916015625,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52030,49467,2563,1228,119,50,46,1156,120.48172950744629,34.60836410522461,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49718,43879,5839,1228,119,50,42,1228,131.42704963684082,44.42882537841797,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49460,35034,14426,1228,119,50,34,1091,144.3195343017578,45.54247856140137,116,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",7883,7305,578,262,79,50,47,136,1680.0389289855957,689.7597312927246,116,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48974,42224,6750,1179,119,50,42,135,134.2337131500244,45.40896415710449,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52892,32397,20495,1224,119,50,32,1122,115.37837982177734,44.52800750732422,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",54473,25408,29065,1213,119,50,24,1186,82.8239917755127,29.01744842529297,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",47853,40876,6977,1204,114,50,41,190,131.1025619506836,24.567365646362305,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48306,43281,5025,1219,119,50,40,1219,126.89757347106934,36.75079345703125,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",42430,24120,18310,1216,119,50,24,1184,119.81630325317383,41.92376136779785,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45593,29185,16408,1191,119,50,28,1191,75.64759254455566,25.52199363708496,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49258,28106,21152,1226,119,50,26,947,74.83482360839844,23.41294288635254,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52269,42946,9323,1240,119,50,40,127,144.81472969055176,44.699907302856445,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",54261,22598,31663,1237,119,50,23,1205,89.47539329528809,29.088258743286133,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51056,18293,32763,1205,119,50,17,1204,84.51056480407715,27.040481567382812,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52768,38883,13885,1230,119,50,36,1019,83.77456665039062,25.801658630371094,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51978,30707,21271,1233,119,50,29,1233,96.71449661254883,35.396575927734375,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45574,29290,16284,1233,119,50,28,1184,95.41869163513184,34.73472595214844,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51551,23533,28018,1219,119,50,22,238,95.00861167907715,27.042388916015625,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51216,44371,6845,1220,114,50,42,1073,107.83553123474121,33.411502838134766,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52676,24032,28644,1200,119,50,23,119,101.07278823852539,32.30142593383789,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50964,30004,20960,1208,119,50,27,1187,65.67645072937012,29.155731201171875,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49146,27354,21792,1184,78,50,27,1008,82.63850212097168,20.965099334716797,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50314,31964,18350,1190,119,50,30,873,128.36766242980957,39.16335105895996,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50221,36092,14129,1220,119,50,33,1127,64.80884552001953,26.671648025512695,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48624,29068,19556,1165,119,50,27,811,71.62046432495117,35.436391830444336,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49556,34739,14817,1224,119,50,33,966,134.9170207977295,32.6228141784668,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51285,31835,19450,1197,119,50,30,1138,104.45070266723633,39.01195526123047,128,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",15325,7267,8058,1274,79,50,41,191,2420.060157775879,1055.9377670288086,116,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50043,30075,19968,1194,119,50,28,1177,65.95611572265625,45.27473449707031,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46847,22153,24694,1176,119,50,22,1137,87.1591567993164,32.39154815673828,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46274,33935,12339,1166,114,50,33,775,123.04830551147461,36.776065826416016,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49782,37219,12563,1229,119,50,34,1155,96.66728973388672,34.78264808654785,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45825,29979,15846,1211,119,50,28,1172,85.99591255187988,34.467458724975586,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49616,28683,20933,1191,119,50,26,893,66.63775444030762,30.749797821044922,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52517,32343,20174,1210,119,50,30,1102,144.86384391784668,39.00432586669922,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",53855,41634,12221,1215,119,50,38,1074,72.3264217376709,32.18698501586914,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46831,26452,20379,1196,119,50,25,1174,91.68648719787598,41.43333435058594,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",43980,23463,20517,1174,119,50,23,1136,99.45869445800781,33.9970588684082,116,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",8511,8091,420,262,114,50,48,153,919.8615550994873,21.958589553833008,116,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51140,43235,7905,1221,119,50,41,995,141.32380485534668,34.92426872253418,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50845,28000,22845,1158,119,50,27,1156,98.44756126403809,35.02321243286133,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51585,29410,22175,1180,119,50,28,1150,84.95950698852539,30.723094940185547,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",47175,26516,20659,1158,119,50,25,850,70.06549835205078,26.238203048706055,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50523,22947,27576,1206,114,50,22,1201,146.28076553344727,83.93049240112305,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",53284,49904,3380,1226,119,50,46,127,62.285661697387695,28.761625289916992,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45922,24580,21342,1226,119,50,24,1152,95.82209587097168,42.33741760253906,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49713,38509,11204,1176,119,50,36,836,96.3277816772461,31.05473518371582,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49820,33490,16330,1210,119,50,31,1151,114.6397590637207,54.7182559967041,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",54691,29593,25098,1207,119,50,28,119,84.7783088684082,33.409833908081055,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50374,26753,23621,1168,119,50,25,981,71.31028175354004,40.80796241760254,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45231,24568,20663,1164,119,50,25,772,128.88383865356445,54.338932037353516,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51313,42153,9160,1234,119,50,39,1223,129.7149658203125,51.833391189575195,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49477,23941,25536,1223,119,50,23,1144,79.70094680786133,32.81283378601074,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51046,27204,23842,1197,114,50,27,1197,105.56459426879883,33.93244743347168,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",43868,23706,20162,1197,119,50,22,1165,83.49108695983887,52.30140686035156,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",53317,49742,3575,1208,119,50,46,1208,121.69218063354492,38.81478309631348,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48763,29763,19000,1208,119,50,28,1127,84.47766304016113,24.586915969848633,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50991,23081,27910,1157,119,50,23,127,110.35442352294922,45.94826698303223,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50852,25853,24999,1190,119,50,24,1190,84.56182479858398,44.583797454833984,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52517,45238,7279,1212,119,50,42,1212,119.7049617767334,39.2451286315918,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50812,26330,24482,1212,119,50,24,1028,84.94234085083008,25.307655334472656,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",47335,30025,17310,1216,119,50,28,781,66.00785255432129,35.102128982543945,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",47962,34718,13244,1211,119,50,33,807,124.98950958251953,59.11993980407715,128,video
